blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,noticeDate,Lat,Lon
1109 092,1707 N BETHEL ST,OLIVER,12,EASTERN,1/18/06,39.31000232,-76.59586449
1454 050,1821 N MONTFORD AVE,BROADWAY EAST,13,EASTERN,3/9/07,39.31166251,-76.58426969
0190 016,2134 W BALTIMORE ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,9/29/11,39.28819691,-76.65119069
1607 037,2327 ASHLAND AVE,MILTON-MONTFORD,13,EASTERN,2/27/08,39.30071367,-76.58408406
1692 039,202 N GLOVER ST,MCELDERRY PARK,13,SOUTHEASTERN,9/28/15,39.29493272,-76.58011324
0065 032,1033 N CAREY ST,SANDTOWN-WINCHESTER,9,WESTERN,6/22/04,39.30089887,-76.63853507
0175 018,2135 W LEXINGTON ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,9/10/13,39.29023184,-76.65112228
3228B077,2728 PARKWOOD AVE,PARKVIEW/WOODBROOK,7,WESTERN,11/23/11,39.31469125,-76.64579145
2424B022,1603 N ROSEDALE ST,ROSEMONT,9,SOUTHWESTERN,3/9/05,39.30623483,-76.6689
0125 023,544 N CAREY ST,HARLEM PARK,9,WESTERN,1/14/08,39.29532303,-76.63880055
1132 011,1408 AISQUITH ST,OLIVER,12,EASTERN,12/24/07,39.30636349,-76.60255273
1608 084,821 N PORT ST,MILTON-MONTFORD,13,EASTERN,3/25/08,39.30054534,-76.58293226
0279 091,316 S PARRISH ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,8/14/15,39.28386758,-76.64159797
4614 018,4919 QUEENSBERRY AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,6/27/13,39.34880594,-76.67068795
0118 075,509 N BRICE ST,MIDTOWN-EDMONDSON,9,WESTERN,3/3/09,39.29420219,-76.64953509
0302 005,2215 PENNSYLVANIA AVE,DRUID HEIGHTS,7,CENTRAL,7/15/05,39.30792548,-76.63957051
0119 032,1941 EDMONDSON AVE,MIDTOWN-EDMONDSON,9,WESTERN,11/16/07,39.29488047,-76.64846186
3006 024,1925 N DUKELAND ST,WALBROOK,7,SOUTHWESTERN,10/2/13,39.31014605,-76.66361046
0320 009,569 PRESSTMAN ST,UPTON,11,CENTRAL,11/23/05,39.30625978,-76.63664773
0227 048,50 S FULTON AVE,CARROLLTON RIDGE,9,SOUTHERN,11/15/07,39.28643991,-76.64537559
1604 032,2019 ASHLAND AVE,MIDDLE EAST,13,EASTERN,2/22/13,39.30052723,-76.58859866
1590 061,2316 ASHLAND AVE,MILTON-MONTFORD,13,EASTERN,10/1/07,39.30107472,-76.58431671
0178 072,1823 VINE ST,FRANKLIN SQUARE,9,WESTERN,9/16/10,39.28994513,-76.64627751
0125 041,527 N CALHOUN ST,HARLEM PARK,9,WESTERN,6/16/08,39.29483618,-76.63959082
7644 010,2719 BOOKERT DR,CHERRY HILL,10,SOUTHERN,4/2/15,39.24829957,-76.62714732
0563 037,214 W MULBERRY ST,DOWNTOWN,11,CENTRAL,2/6/15,39.29413538,-76.61889342
1459 074,2003 E LAFAYETTE AVE,BROADWAY EAST,12,EASTERN,7/10/07,39.31065423,-76.58978964
0275 112,1836 WILHELM ST,CARROLLTON RIDGE,9,SOUTHERN,7/26/13,39.28381418,-76.64615985
3207 078,1923 HERBERT ST,MONDAWMIN,7,WESTERN,5/21/09,39.31021476,-76.64902833
2475F019,3037 W LANVALE ST,FRANKLINTOWN ROAD,9,SOUTHWESTERN,5/14/09,39.29684951,-76.66792432
0162 010,1918 W LEXINGTON ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,11/3/10,39.29075613,-76.64798972
2252 040,110 S CULVER ST,SAINT JOSEPHS,8,SOUTHWESTERN,7/2/13,39.28503371,-76.67883496
5267G088,1427 STONEWOOD ROAD,NEW NORTHWOOD,4,NORTHEASTERN,8/15/14,39.34924858,-76.59287614
4163A029,1657 DARLEY AVE,DARLEY PARK,12,EASTERN,8/23/11,39.31449925,-76.59495632
0213 003,1505 W BALTIMORE ST,FRANKLIN SQUARE,9,WESTERN,5/5/14,39.28815792,-76.64128498
0288 052,416 FURROW ST,CARROLLTON RIDGE,9,SOUTHWESTERN,8/15/12,39.28249869,-76.65202708
7646 048,2542 TERRA FIRMA ROAD,CHERRY HILL,10,SOUTHERN,8/13/13,39.25015313,-76.62428026
0062 001,1000 N STRICKER ST,SANDTOWN-WINCHESTER,9,WESTERN,11/25/08,39.30013161,-76.64187605
2518 011,840 N WOODINGTON ROAD,ROGNEL HEIGHTS,8,SOUTHWESTERN,7/17/15,39.29761784,-76.68643437
3243 004,2331 REISTERSTOWN ROAD,PARKVIEW/WOODBROOK,7,WESTERN,11/14/05,39.3155762,-76.64868919
7262 031,1628 POPLAND ST,CURTIS BAY,10,SOUTHERN,1/30/15,39.22941258,-76.58745141
0084 012,822 N FULTON AVE,HARLEM PARK,9,WESTERN,10/8/08,39.29821585,-76.64607141
4607 024,3506 WOODLAND AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,10/12/12,39.34222502,-76.67369974
1169 035,715 E BIDDLE ST,JOHNSTON SQUARE,12,EASTERN,5/18/06,39.30361346,-76.60707616
4552 046,3414 W BELVEDERE AVE,ARLINGTON,5,NORTHWESTERN,11/19/10,39.3475779,-76.67875669
4595 004,3704 OAKMONT AVE,LANGSTON HUGHES,6,NORTHWESTERN,2/12/15,39.34305728,-76.67759036
4130 028C,1615 ABBOTSTON ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,7/22/08,39.32252424,-76.59428813
0469 007,815 EDMONDSON AVE,UPTON,11,CENTRAL,11/10/04,39.29591293,-76.6315075
6473 013,1000 S CONKLING ST,CANTON,1,SOUTHEASTERN,9/21/11,39.28123403,-76.5671972
3815 011,2233 BARCLAY ST,BARCLAY,12,EASTERN,1/22/15,39.31525438,-76.61094099
1506 049,2603 E OLIVER ST,BEREA,13,EASTERN,12/17/14,39.3078256,-76.58097619
0104 040,926 HARLEM AVE,HARLEM PARK,9,WESTERN,11/17/06,39.29707893,-76.63428753
1494 080,1752 LLEWELYN AVE,BROADWAY EAST,12,EASTERN,12/27/05,39.30712193,-76.59305818
4621 016,4730 PARK HEIGHTS AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,6/3/05,39.34456986,-76.67121984
2281B022,405 GWYNN AVE,LOWER EDMONDSON VILLAGE,8,SOUTHWESTERN,3/31/15,39.29200045,-76.67349288
0328 083,1804 ETTING ST,DRUID HEIGHTS,11,CENTRAL,8/30/05,39.30568747,-76.634395
4164B055,1731 CLIFTVIEW AVE,DARLEY PARK,12,EASTERN,7/31/15,39.31512365,-76.59310205
0778 002,1303 WASHINGTON BLVD,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,1/25/13,39.28041394,-76.6353557
3936 095,2742 FENWICK AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,7/8/11,39.32314768,-76.59069431
1516 030,1318 N WASHINGTON ST,BROADWAY EAST,13,EASTERN,3/19/08,39.30594336,-76.59028733
0008 021,1703 MCKEAN AVE,SANDTOWN-WINCHESTER,7,WESTERN,2/21/08,39.30803749,-76.64697127
0078 038,928 N CARROLLTON AVE,SANDTOWN-WINCHESTER,9,WESTERN,11/15/07,39.30000133,-76.63761011
4536A122,5314 MAPLE AVE,PIMLICO GOOD NEIGHBORS,5,NORTHWESTERN,4/25/11,39.35141879,-76.67796236
4186 006,3223 ERDMAN AVE,BELAIR-EDISON,13,NORTHEASTERN,2/4/11,39.32058078,-76.57261836
2956 006,3922 W COLD SPRING LANE,DOLFIELD,6,NORTHWESTERN,12/12/08,39.33526057,-76.68375501
1137 029,1506 E HOFFMAN ST,OLIVER,12,EASTERN,6/14/11,39.30648021,-76.59746502
0339 001,1700 DRUID HILL AVE,UPTON,11,CENTRAL,4/21/11,39.30507279,-76.6327507
0950 032,12 E WEST ST,FEDERAL HILL,11,SOUTHERN,7/23/14,39.27593981,-76.61383203
3259 024,2028 CLIFTON AVE,MONDAWMIN,7,WESTERN,2/12/08,39.31205315,-76.65089456
7245A032,3741 SAINT MARGARET ST,BROOKLYN,10,SOUTHERN,11/29/05,39.2322473,-76.59557984
4178H021,3340 ELMLEY AVE,BELAIR-EDISON,13,NORTHEASTERN,8/28/15,39.31720563,-76.57597042
0107 074,1902 EDMONDSON AVE,MIDTOWN-EDMONDSON,9,WESTERN,3/27/15,39.29531957,-76.64752069
0207 020,19 S PAYSON ST,BOYD-BOOTH,9,SOUTHWESTERN,7/3/14,39.2873476,-76.64836364
0241 004,2007 FREDERICK AVE,CARROLLTON RIDGE,9,SOUTHERN,11/4/05,39.28589742,-76.64887159
1576 008C,2828 E CHASE ST,BIDDLE STREET,13,EASTERN,6/11/14,39.30407183,-76.57748655
4005 034,1912 AISQUITH ST,EAST BALTIMORE MIDWAY,12,EASTERN,11/9/06,39.31240344,-76.60286682
5872 004,4509 SCHLEY AVE,WALTHERSON,3,NORTHEASTERN,12/6/12,39.33506354,-76.56307782
3952 028,1806 E 28TH ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,8/14/14,39.32408307,-76.59040026
0125 015,528 N CAREY ST,HARLEM PARK,9,WESTERN,3/12/10,39.29495812,-76.63878425
7492C042,2576 MARBOURNE AVE,LAKELAND,10,SOUTHERN,4/30/15,39.2529851,-76.64749178
2386 021,2851 PROSPECT ST,MOSHER,9,WESTERN,7/29/15,39.29848902,-76.66429384
6766 014,1209 STEELTON AVE,GRACELAND PARK,1,SOUTHEASTERN,9/14/12,39.27959197,-76.53594218
5165D057,740 MCCABE AVE,WOODBOURNE-MCCABE,4,NORTHERN,3/11/11,39.35235964,-76.60523205
7095A138,4012 8TH ST,BROOKLYN,10,SOUTHERN,12/13/13,39.23137594,-76.60173308
4604 001,4800 WILERN AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,4/5/13,39.34407837,-76.67464318
2170A071,2545 W FAYETTE ST,SHIPLEY HILL,9,SOUTHWESTERN,7/22/10,39.28870256,-76.657749
4164A026,1651 CLIFTVIEW AVE,DARLEY PARK,12,EASTERN,5/23/14,39.31507537,-76.59466439
4164A033,1665 CLIFTVIEW AVE,DARLEY PARK,12,EASTERN,1/15/15,39.3150853,-76.59434327
7983 004,1107 WALNUT AVE,ROGNEL HEIGHTS,8,SOUTHWESTERN,5/4/07,39.29712222,-76.69160444
1484 072,1516 N BRADFORD ST,BROADWAY EAST,13,EASTERN,3/13/08,39.30842668,-76.58521678
0768 030,1258 WASHINGTON BLVD,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,9/17/13,39.2810775,-76.63516938
1099B102,1810 AIKEN ST,OLIVER,12,EASTERN,5/21/07,39.31097006,-76.60107647
0012 088,1624 N MONROE ST,EASTERWOOD,7,WESTERN,1/8/15,39.30716665,-76.64825891
4576 007,3720 W GARRISON AVE,LANGSTON HUGHES,6,NORTHWESTERN,6/24/13,39.34423757,-76.6791377
2448 015,1152 N LONGWOOD ST,WINCHESTER,9,SOUTHWESTERN,12/1/14,39.30118034,-76.66758082
0047 024,1257 N BENTALOU ST,BRIDGEVIEW/GREENLAWN,9,WESTERN,11/27/13,39.30362336,-76.65351934
2440 005,3108 BAKER ST,ROSEMONT,9,SOUTHWESTERN,3/4/15,39.30601303,-76.66951887
3307A028,2627 ROSEWOOD AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,2/8/12,39.33840617,-76.6647717
1673 073,429 N ROSE ST,MCELDERRY PARK,13,SOUTHEASTERN,1/6/15,39.29643073,-76.58125443
0105 008,608 N PULASKI ST,MIDTOWN-EDMONDSON,9,WESTERN,4/23/10,39.29558561,-76.65075467
4131 016,1544 GORSUCH AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,7/21/14,39.32216547,-76.59574266
0222 057,2108 BOYD ST,BOYD-BOOTH,9,SOUTHWESTERN,11/17/05,39.28659164,-76.65048681
7057A019,617 ARSAN AVE,BROOKLYN,10,SOUTHERN,10/17/03,39.23866068,-76.60040745
0850 023,923 WASHINGTON BLVD,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,8/23/13,39.28266818,-76.63169512
3303 005,2618 W COLD SPRING LANE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,11/23/05,39.34019765,-76.66578355
0020 047A,1525 N MONROE ST,SANDTOWN-WINCHESTER,7,WESTERN,12/19/05,39.30622586,-76.64769158
3403 051,2616 WOODBROOK AVE,PENN NORTH,7,WESTERN,4/25/06,39.31352007,-76.64512777
0217 011,1121 W BALTIMORE ST,HOLLINS MARKET,9,SOUTHERN,7/17/13,39.28846463,-76.63593466
3347C053,2645 LOYOLA SOUTHWAY,GREENSPRING,6,NORTHERN,11/12/10,39.33668028,-76.66221031
2377F030,2566 ARUNAH AVE,EVERGREEN LAWN,9,WESTERN,8/5/14,39.29559154,-76.65929766
0719A067,2021 EAGLE ST,CARROLLTON RIDGE,9,SOUTHERN,10/19/01,39.2806113,-76.64785121
5451A013,6404 MARIETTA AVE,HAMILTON HILLS,3,NORTHEASTERN,9/4/15,39.3631232,-76.56161687
4550 017,5203 BEAUFORT AVE,ARLINGTON,5,NORTHWESTERN,7/2/07,39.34725373,-76.67993358
3305 028,2710 BOARMAN AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,2/29/12,39.33856608,-76.66662157
3424 004,2206 EUTAW PL,RESERVOIR HILL,7,CENTRAL,4/15/10,39.31066233,-76.63467608
1277 029,556 OLDTOWN MALL,OLDTOWN,12,EASTERN,3/11/10,39.29725802,-76.60298018
4138 038A,2801 KENNEDY AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,2/21/13,39.32306047,-76.59400551
1604 003,805 N WASHINGTON ST,MIDDLE EAST,13,EASTERN,7/23/13,39.29982309,-76.58940088
6072R030,5568 WHITBY ROAD,FRANKFORD,2,NORTHEASTERN,7/1/15,39.33574257,-76.53025308
1674 090,415 N GLOVER ST,MCELDERRY PARK,13,SOUTHEASTERN,10/2/13,39.29629236,-76.57982529
0163 092,1817 PENROSE AVE,FRANKLIN SQUARE,9,WESTERN,4/28/15,39.29109551,-76.64627006
4024 047,619 COKESBURY AVE,EAST BALTIMORE MIDWAY,12,EASTERN,6/19/12,39.31620912,-76.60806276
4131 010,1530 GORSUCH AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,1/9/07,39.32235501,-76.59604208
0157 040A,900 W SARATOGA ST,POPPLETON,9,WESTERN,7/19/13,39.29280496,-76.63245184
4070A036,515 E 27TH ST,BETTER WAVERLY,14,NORTHERN,6/17/08,39.32071163,-76.60846491
2402 019,2749 W NORTH AVE,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,4/9/09,39.30893775,-76.66268469
1158 002,1203 ENSOR ST,OLIVER,12,EASTERN,5/3/06,39.30430615,-76.60333522
2174A064,119 S CATHERINE ST,SHIPLEY HILL,9,SOUTHWESTERN,1/16/15,39.285136,-76.6557099
0373 049,1403 MYRTLE AVE,UPTON,11,CENTRAL,7/13/11,39.30007599,-76.63355309
2244B006,3328 FREDERICK AVE,IRVINGTON,8,SOUTHWESTERN,11/25/09,39.28133952,-76.67315144
3205 067,2131 HERBERT ST,MONDAWMIN,7,WESTERN,4/20/15,39.31009706,-76.65241358
3205 005,1908 N PULASKI ST,MONDAWMIN,7,WESTERN,1/9/12,39.31029287,-76.65158178
3305A035,2700 CLASSEN AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,11/30/12,39.33766003,-76.66554033
0288 033,433 FURROW ST,CARROLLTON RIDGE,9,SOUTHWESTERN,7/15/10,39.28220953,-76.65164556
0251 024,111 S ARLINGTON AVE,HOLLINS MARKET,9,SOUTHERN,11/27/07,39.28637688,-76.63493829
0271 002,302 S SMALLWOOD ST,CARROLLTON RIDGE,9,SOUTHWESTERN,6/19/09,39.28391641,-76.65146796
0315 006,2010 MCCULLOH ST,DRUID HEIGHTS,11,CENTRAL,12/31/09,39.30812615,-76.6351417
1522 015,1329 N LUZERNE AVE,BEREA,13,EASTERN,8/17/11,39.30664725,-76.5811184
4536A071,5336 WINNER AVE,PIMLICO GOOD NEIGHBORS,5,NORTHWESTERN,4/15/15,39.35250792,-76.67777385
1656 057,500 N ROSE ST,MCELDERRY PARK,13,SOUTHEASTERN,10/31/08,39.29706634,-76.58165531
6771C036,1210 STEELTON AVE,GRACELAND PARK,1,SOUTHEASTERN,4/17/15,39.27956123,-76.53648706
0396 044,1303 DIVISION ST,UPTON,11,CENTRAL,11/10/08,39.30137945,-76.62948811
4041A033,613 GUTMAN AVE,EAST BALTIMORE MIDWAY,12,EASTERN,3/16/06,39.31742852,-76.60726997
0049 027,1115 APPLETON ST,MIDTOWN-EDMONDSON,9,WESTERN,8/13/09,39.30150276,-76.64828775
4552 006,3212 W BELVEDERE AVE,ARLINGTON,5,NORTHWESTERN,6/5/13,39.34862614,-76.67711515
3950 042,1630 E 28TH ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,6/12/15,39.32408391,-76.59203242
0243 056,120 S FULTON AVE,CARROLLTON RIDGE,9,SOUTHERN,3/16/11,39.28563625,-76.64542559
1471 036,2132 E FEDERAL ST,BROADWAY EAST,13,EASTERN,9/27/07,39.30903168,-76.58690514
4812 029,4533 PIMLICO ROAD,PARKLANE,6,NORTHERN,9/19/14,39.34312683,-76.66680963
1450 041,2131 E NORTH AVE,BROADWAY EAST,12,EASTERN,2/11/08,39.31219939,-76.58773723
0163 071,224 N FULTON AVE,FRANKLIN SQUARE,9,WESTERN,8/13/08,39.2911861,-76.64563852
0193 027,1845 W FAYETTE ST,FRANKLIN SQUARE,9,WESTERN,5/1/15,39.28928368,-76.64670413
0225 006,1809 HOLLINS ST,FRANKLIN SQUARE,9,SOUTHERN,10/24/14,39.28701674,-76.64669568
0106 084,611 N BRICE ST,MIDTOWN-EDMONDSON,9,WESTERN,12/6/11,39.29557639,-76.64961757
2451 058B,3104 BRIGHTON ST,ROSEMONT,9,SOUTHWESTERN,8/29/05,39.30534029,-76.6696091
4621 020,4738 PARK HEIGHTS AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,7/24/08,39.34469585,-76.67133826
7077 025,600 E PATAPSCO AVE,BROOKLYN,10,SOUTHERN,7/11/06,39.23648033,-76.6020149
3461 026,2428 LAKEVIEW AVE,RESERVOIR HILL,7,CENTRAL,9/19/14,39.31543592,-76.63296381
1606 080,833 N MADEIRA ST,MIDDLE EAST,13,EASTERN,1/15/09,39.30064905,-76.5858155
1709 014,127 N MILTON AVE,PATTERSON PARK NEIGHBORHOOD,1,SOUTHEASTERN,6/27/14,39.29373566,-76.58171453
0291 037,413 S MONROE ST,CARROLLTON RIDGE,9,SOUTHERN,10/23/08,39.28284622,-76.64642899
0222 022,2143 HOLLINS ST,BOYD-BOOTH,9,SOUTHWESTERN,3/4/14,39.28677211,-76.65109503
1915 035,1033 RIVERSIDE AVE,FEDERAL HILL,11,SOUTHERN,6/10/15,39.27777841,-76.60887058
1138 035,1633 E OLIVER ST,OLIVER,12,EASTERN,7/9/07,39.30726086,-76.59543432
0012 042,1604 APPLETON ST,EASTERWOOD,7,WESTERN,7/17/12,39.30675431,-76.64910942
0216 063,1204 HOLLINS ST,HOLLINS MARKET,9,SOUTHERN,2/20/15,39.28777531,-76.63709324
3003 081,3010 HERBERT ST,WALBROOK,7,SOUTHWESTERN,5/17/11,39.30969561,-76.66836136
2449 017,1311 POPLAR GROVE ST,WINCHESTER,9,SOUTHWESTERN,8/22/03,39.30275634,-76.66513305
2902 003C,3623 LIBERTY HEIGHTS AVE,FOREST PARK,6,NORTHWESTERN,7/25/11,39.32562209,-76.67765423
0079 029,914 N ARLINGTON AVE,SANDTOWN-WINCHESTER,9,WESTERN,12/20/11,39.29992744,-76.63624066
1162 039,1210 N CAROLINE ST,OLIVER,12,EASTERN,7/6/12,39.30455166,-76.59831271
3403 046,2626 WOODBROOK AVE,PENN NORTH,7,WESTERN,6/27/08,39.31365023,-76.64526306
0092 016,1011 W LAFAYETTE AVE,HARLEM PARK,9,WESTERN,8/24/09,39.29888882,-76.63497558
3196 023,3515 VIRGINIA AVE,LUCILLE PARK,6,NORTHWESTERN,8/3/15,39.33990456,-76.67267052
0273 079,2012 WILHELM ST,CARROLLTON RIDGE,9,SOUTHERN,4/30/07,39.28374597,-76.64910312
0359 033,629 PITCHER ST,UPTON,11,CENTRAL,8/16/12,39.30192195,-76.63522884
4163 014,1417 DARLEY AVE,DARLEY PARK,14,EASTERN,1/7/09,39.31483657,-76.59667099
2178 089,319 TYRONE ST,SHIPLEY HILL,9,SOUTHWESTERN,7/2/15,39.28196166,-76.65879189
0209 015,11 S FULTON AVE,FRANKLIN SQUARE,9,WESTERN,11/13/07,39.2879186,-76.64494358
0248 055,106 S CAREY ST,UNION SQUARE,9,SOUTHERN,10/10/07,39.28620376,-76.63818877
0107 036,1945 HARLEM AVE,MIDTOWN-EDMONDSON,9,WESTERN,8/18/10,39.29612158,-76.64886212
4129 030,1651 CARSWELL ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,3/20/09,39.32151251,-76.5940865
0575 023,324 N PACA ST,UNIVERSITY OF MARYLAND,11,CENTRAL,7/20/15,39.2935707,-76.62281455
5551 001H,3017 WOODHOME AVE,NORTH HARFORD ROAD,3,NORTHEASTERN,5/4/15,39.3656455,-76.54766938
0858 057,803 SCOTT ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,1/8/04,39.28106464,-76.62848792
2411 018,1734 POPLAR GROVE ST,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,7/18/14,39.30799267,-76.66596866
1111 079,432 PITMAN PL,GREENMOUNT WEST,12,EASTERN,1/23/15,39.30861234,-76.6098074
3208 041,1819 WALBROOK AVE,MONDAWMIN,7,WESTERN,3/17/11,39.31069304,-76.64767037
1622 003,722 N PATTERSON PARK AVE,MIDDLE EAST,13,EASTERN,3/27/15,39.29921094,-76.58542537
3059B003,3215 PIEDMONT AVE,HANLON-LONGWOOD,7,NORTHWESTERN,1/17/14,39.3160937,-76.67247776
1108 066,1712 N DALLAS ST,OLIVER,12,EASTERN,7/7/09,39.30999816,-76.59777129
0698 005,408 S PAYSON ST,CARROLLTON RIDGE,9,SOUTHERN,1/31/08,39.28250889,-76.64851907
0085 024,1717 W LAFAYETTE AVE,HARLEM PARK,9,WESTERN,1/2/08,39.29859994,-76.64498785
4607 078,3629 LUCILLE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,4/1/08,39.34168682,-76.67442352
0055D046,1123 N CARROLLTON AVE,SANDTOWN-WINCHESTER,9,WESTERN,2/6/08,39.30174172,-76.63719267
0076 007,913 N STRICKER ST,SANDTOWN-WINCHESTER,9,WESTERN,10/27/08,39.29933745,-76.64125981
1505 014,2526 E HOFFMAN ST,BEREA,13,EASTERN,7/31/15,39.30710522,-76.58193024
5942 014H,4425 FURLEY AVE,FRANKFORD,2,NORTHEASTERN,5/29/15,39.33023405,-76.5556789
1654 049,504 N MONTFORD AVE,MCELDERRY PARK,13,SOUTHEASTERN,7/14/14,39.29705411,-76.58387467
0276 086,330 S BRUCE ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,1/3/07,39.28358322,-76.64440852
0336 037,642 PITCHER ST,UPTON,11,CENTRAL,4/17/12,39.30232891,-76.6354252
7132 018,4202 AUDREY AVE,BROOKLYN,10,SOUTHERN,2/10/14,39.22977725,-76.60526006
3461 016,2408 LAKEVIEW AVE,RESERVOIR HILL,7,CENTRAL,7/21/15,39.31499783,-76.63295883
4041 012,642 COKESBURY AVE,EAST BALTIMORE MIDWAY,12,EASTERN,2/4/09,39.31623785,-76.60736883
2350 044,2319 CALVERTON HEIGHTS AVE,EVERGREEN LAWN,9,WESTERN,2/22/12,39.29750928,-76.65440118
1555 002,1102 N MILTON AVE,BIDDLE STREET,13,EASTERN,3/14/08,39.30405003,-76.58288658
3039 024,3310 ELGIN AVE,WALBROOK,7,SOUTHWESTERN,8/6/10,39.31344628,-76.6736492
0084 010,818 N FULTON AVE,HARLEM PARK,9,WESTERN,11/7/07,39.29812324,-76.64606765
3403 004,1556 CLIFTON AVE,PENN NORTH,7,WESTERN,1/29/10,39.31318788,-76.6447603
1505 053,1421 N MILTON AVE,BEREA,13,EASTERN,11/9/07,39.30762204,-76.58260434
2171 004,2507 W BALTIMORE ST,SHIPLEY HILL,9,SOUTHWESTERN,4/25/14,39.28753043,-76.65643471
0279 028,335 S GILMOR ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,9/2/15,39.28364627,-76.64185061
0161 021,2024 W LEXINGTON ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,2/1/06,39.29070015,-76.64971007
2323 057,1654 N SMALLWOOD ST,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,4/11/07,39.30757737,-76.6528577
1174 015,1137 HARFORD AVE,JOHNSTON SQUARE,12,EASTERN,9/22/11,39.30384564,-76.60188741
3251 004,2806 REISTERSTOWN ROAD,LIBERTY SQUARE,7,NORTHWESTERN,4/25/06,39.32017096,-76.65427195
7027D038,3802 LEADENHALL ST,BROOKLYN,10,SOUTHERN,1/27/12,39.23667333,-76.61387609
3407 084,2450 ETTING ST,PENN NORTH,7,WESTERN,9/6/13,39.31144383,-76.64163376
0156 067,1036 SARAH ANN ST,POPPLETON,9,WESTERN,3/15/06,39.29295968,-76.63511537
0015 010,1619 N FULTON AVE,SANDTOWN-WINCHESTER,7,WESTERN,7/30/15,39.30713479,-76.64594791
4536A129,5300 MAPLE AVE,PIMLICO GOOD NEIGHBORS,5,NORTHWESTERN,5/21/14,39.35120821,-76.677738
0066 041,1018 N ARLINGTON AVE,SANDTOWN-WINCHESTER,9,WESTERN,1/28/10,39.30102437,-76.63630102
0162 052,1906 PENROSE AVE,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,1/19/11,39.29145837,-76.64773325
3735 004,424 CALVIN AVE,OAKENSHAWE,14,NORTHERN,8/8/14,39.33037938,-76.60987356
3177A020,3808 TOWANDA AVE,PARK CIRCLE,6,NORTHWESTERN,7/21/08,39.33148009,-76.6639651
1500 030B,2114 LLEWELYN AVE,BROADWAY EAST,13,EASTERN,5/21/08,39.30735707,-76.5876857
2178 031,320 S FRANKLINTOWN ROAD,SHIPLEY HILL,9,SOUTHWESTERN,10/29/09,39.28318274,-76.65771596
0329 028,1837 DRUID HILL AVE,DRUID HEIGHTS,11,CENTRAL,12/19/13,39.30662237,-76.63388837
2482B007,2914 EDMONDSON AVE,FRANKLINTOWN ROAD,9,SOUTHWESTERN,11/7/13,39.29466221,-76.66543314
1635 023,622 N CASTLE ST,CARE,13,EASTERN,5/20/11,39.29814604,-76.58890841
0094 032,2042 HARLEM AVE,MIDTOWN-EDMONDSON,9,WESTERN,2/1/06,39.29647228,-76.65028604
2306A008,1714 MORELAND AVE,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,3/22/06,39.30794591,-76.65610339
3250 012,2722 REISTERSTOWN ROAD,LIBERTY SQUARE,7,NORTHWESTERN,7/2/15,39.31930134,-76.65361636
3261A010,2124 N SMALLWOOD ST,MONDAWMIN,7,WESTERN,5/19/10,39.31236292,-76.65313464
0021 003,1506 N MOUNT ST,SANDTOWN-WINCHESTER,7,WESTERN,7/18/14,39.30578251,-76.64503095
1132 016,1418 AISQUITH ST,OLIVER,12,EASTERN,10/24/07,39.30654159,-76.6025631
0098 020,712 N GILMOR ST,HARLEM PARK,9,WESTERN,10/5/06,39.29693175,-76.64312914
