blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,noticeDate,Lat,Lon
1570 085,2233 PRENTISS PL,MIDDLE EAST,13,EASTERN,2/29/12,39.30284089,-76.58606929
2394 046,1004 N DUKELAND ST,MOSHER,9,WESTERN,7/13/06,39.29983206,-76.66375606
1132 003,1104 E HOFFMAN ST,OLIVER,12,EASTERN,7/13/07,39.30628631,-76.60286427
3307 017,4107 PARK HEIGHTS AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,9/11/14,39.33602021,-76.66338967
0058 039,1923 RIGGS AVE,MIDTOWN-EDMONDSON,9,WESTERN,8/8/11,39.30064725,-76.64916163
1478 041,1516 N WOLFE ST,BROADWAY EAST,12,EASTERN,9/13/12,39.30801169,-76.59172275
3952 037,1824 E 28TH ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,5/28/09,39.32408275,-76.58996212
1158 017,1007 E PRESTON ST,OLIVER,12,EASTERN,5/23/06,39.30482883,-76.60332181
0293 059,722 CUMBERLAND ST,SANDTOWN-WINCHESTER,7,WESTERN,11/21/12,39.30842175,-76.6432289
0280 100,318 S NORRIS ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,12/17/10,39.28391791,-76.64014988
3173 039,2913 VIOLET AVE,PARK CIRCLE,6,NORTHWESTERN,4/17/09,39.32922914,-76.66254292
2411 017,1732 POPLAR GROVE ST,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,3/1/11,39.30795401,-76.66596604
2280 029,521 DENISON ST,LOWER EDMONDSON VILLAGE,8,SOUTHWESTERN,6/6/14,39.2934462,-76.67385515
0112 046,623 N CALHOUN ST,HARLEM PARK,9,WESTERN,11/25/09,39.29608914,-76.63967799
0123 042,515 N GILMOR ST,HARLEM PARK,9,WESTERN,10/28/08,39.29445403,-76.6424138
1572 020,1050 N MILTON AVE,BIDDLE STREET,13,EASTERN,8/6/13,39.30349667,-76.58284389
0711 034,543 S MONROE ST,CARROLLTON RIDGE,9,SOUTHERN,3/1/13,39.2812272,-76.64625022
1479 060,1900 E OLIVER ST,BROADWAY EAST,12,EASTERN,8/6/07,39.30781387,-76.59103249
1453 026,1804 N MONTFORD AVE,BROADWAY EAST,13,EASTERN,2/5/15,39.31145254,-76.58474701
0576 036,320 N EUTAW ST,DOWNTOWN,11,CENTRAL,4/4/14,39.29352727,-76.62159898
6242 038,1 S KRESSON ST,KRESSON,2,SOUTHEASTERN,12/28/11,39.29287412,-76.55968729
5489 074,2830 FLEETWOOD AVE,WESTFIELD,3,NORTHEASTERN,6/30/15,39.36328557,-76.55494883
4012 050,2243 CECIL AVE,EAST BALTIMORE MIDWAY,12,EASTERN,8/8/08,39.3144212,-76.60400407
0389 019,21 E NORTH AVE,CHARLES NORTH,12,CENTRAL,6/13/08,39.31067315,-76.61583107
8328 007,5314 GWYNN OAK AVE,HOWARD PARK,8,NORTHWESTERN,7/9/12,39.32893322,-76.70737763
4164B016,1730 DARLEY AVE,DARLEY PARK,12,EASTERN,7/31/15,39.3149107,-76.59303993
